,event,site,date_played,white,black,result,white_elo,black_elo,winner,loser
1543,2nd Sinquefield Cup 2014,Saint Louis USA,2014-08-30,"Vachier Lagrave,M","Nakamura,Hi",1/2-1/2,2768.0,2787.0,draw,draw
1544,2nd Sinquefield Cup 2014,Saint Louis USA,2014-08-31,"Nakamura,Hi","Caruana,F",0-1,2787.0,2801.0,"Caruana,F","Nakamura,Hi"
1545,2nd Sinquefield Cup 2014,Saint Louis USA,2014-09-02,"Nakamura,Hi","Aronian,L",1/2-1/2,2787.0,2805.0,draw,draw
1546,2nd Sinquefield Cup 2014,Saint Louis USA,2014-09-03,"Carlsen,M","Nakamura,Hi",1-0,2877.0,2787.0,"Carlsen,M","Nakamura,Hi"
1547,2nd Sinquefield Cup 2014,Saint Louis USA,2014-09-04,"Nakamura,Hi","Topalov,V",0-1,2787.0,2772.0,"Topalov,V","Nakamura,Hi"
1548,2nd Sinquefield Cup 2014,Saint Louis USA,2014-09-05,"Caruana,F","Nakamura,Hi",1/2-1/2,2801.0,2787.0,draw,draw
1549,2nd Sinquefield Cup 2014,Saint Louis USA,2014-09-06,"Nakamura,Hi","Vachier Lagrave,M",1/2-1/2,2787.0,2768.0,draw,draw
1550,30th ECC Open 2014,Bilbao ESP,2014-09-16,"Nakamura,Hi","Dominguez Perez,L",1/2-1/2,2782.0,2755.0,draw,draw
1551,30th ECC Open 2014,Bilbao ESP,2014-09-17,"Rodshtein,M","Nakamura,Hi",0-1,2678.0,2782.0,"Nakamura,Hi","Rodshtein,M"
1552,30th ECC Open 2014,Bilbao ESP,2014-09-18,"Topalov,V","Nakamura,Hi",1-0,2784.0,2782.0,"Topalov,V","Nakamura,Hi"
1553,30th ECC Open 2014,Bilbao ESP,2014-09-19,"Nakamura,Hi","Dambacher,M",1-0,2782.0,2497.0,"Nakamura,Hi","Dambacher,M"
1554,30th ECC Open 2014,Bilbao ESP,2014-09-20,"Grischuk,A","Nakamura,Hi",1/2-1/2,2789.0,2782.0,draw,draw
1555,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-02,"Nakamura,Hi","Svidler,P",1/2-1/2,2764.0,2732.0,draw,draw
1556,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-03,"Andreikin,D","Nakamura,Hi",0-1,2722.0,2764.0,"Nakamura,Hi","Andreikin,D"
1557,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-04,"Nakamura,Hi","Caruana,F",1/2-1/2,2764.0,2844.0,draw,draw
1558,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-05,"Grischuk,A","Nakamura,Hi",1/2-1/2,2797.0,2764.0,draw,draw
1559,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-07,"Nakamura,Hi","Dominguez Perez,L",1/2-1/2,2764.0,2751.0,draw,draw
1560,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-08,"Tomashevsky,E","Nakamura,Hi",1/2-1/2,2701.0,2764.0,draw,draw
1561,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-09,"Nakamura,Hi","Karjakin,Sergey",0-1,2764.0,2767.0,"Karjakin,Sergey","Nakamura,Hi"
1562,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-10,"Gelfand,B","Nakamura,Hi",1/2-1/2,2748.0,2764.0,draw,draw
1563,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-12,"Nakamura,Hi","Kasimdzhanov,R",1-0,2764.0,2706.0,"Nakamura,Hi","Kasimdzhanov,R"
1564,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-13,"Nakamura,Hi","Mamedyarov,S",1/2-1/2,2764.0,2764.0,draw,draw
1565,Baku FIDE Grand Prix 2014,Baku AZE,2014-10-14,"Radjabov,T","Nakamura,Hi",1/2-1/2,2726.0,2764.0,draw,draw
1566,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-21,"Nakamura,Hi","Jobava,Ba",1-0,2764.0,2717.0,"Nakamura,Hi","Jobava,Ba"
1567,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-22,"Andreikin,D","Nakamura,Hi",1/2-1/2,2722.0,2764.0,draw,draw
1568,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-23,"Nakamura,Hi","Giri,A",1/2-1/2,2764.0,2768.0,draw,draw
1569,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-24,"Mamedyarov,S","Nakamura,Hi",1/2-1/2,2764.0,2764.0,draw,draw
1570,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-26,"Nakamura,Hi","Gelfand,B",1-0,2764.0,2748.0,"Nakamura,Hi","Gelfand,B"
1571,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-27,"Nakamura,Hi","Caruana,F",1/2-1/2,2764.0,2844.0,draw,draw
1572,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-28,"Kasimdzhanov,R","Nakamura,Hi",1/2-1/2,2706.0,2764.0,draw,draw
1573,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-29,"Nakamura,Hi","Radjabov,T",1/2-1/2,2764.0,2726.0,draw,draw
1574,Tashkent FIDE GP 2014,Tashkent UZB,2014-10-31,"Karjakin,Sergey","Nakamura,Hi",1/2-1/2,2767.0,2764.0,draw,draw
1575,Tashkent FIDE GP 2014,Tashkent UZB,2014-11-01,"Nakamura,Hi","Jakovenko,D",1/2-1/2,2764.0,2747.0,draw,draw
1576,Tashkent FIDE GP 2014,Tashkent UZB,2014-11-02,"Vachier Lagrave,M","Nakamura,Hi",1/2-1/2,2757.0,2764.0,draw,draw
1577,Nakamura-Aronian m 2014,Saint Louis USA,2014-11-21,"Nakamura,Hi","Aronian,L",1-0,2767.0,2797.0,"Nakamura,Hi","Aronian,L"
1578,Nakamura-Aronian m 2014,Saint Louis USA,2014-11-22,"Aronian,L","Nakamura,Hi",1-0,2797.0,2767.0,"Aronian,L","Nakamura,Hi"
1579,Nakamura-Aronian m 2014,Saint Louis USA,2014-11-23,"Nakamura,Hi","Aronian,L",1/2-1/2,2767.0,2797.0,draw,draw
1580,Nakamura-Aronian m 2014,Saint Louis USA,2014-11-24,"Aronian,L","Nakamura,Hi",1/2-1/2,2797.0,2767.0,draw,draw
1581,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1-0,2767.0,2797.0,"Nakamura,Hi","Aronian,L"
1582,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1-0,2797.0,2767.0,"Aronian,L","Nakamura,Hi"
1583,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1-0,2767.0,2797.0,"Nakamura,Hi","Aronian,L"
1584,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",0-1,2797.0,2767.0,"Nakamura,Hi","Aronian,L"
1585,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1/2-1/2,2767.0,2797.0,draw,draw
1586,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1/2-1/2,2797.0,2767.0,draw,draw
1587,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1-0,2767.0,2797.0,"Nakamura,Hi","Aronian,L"
1588,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1/2-1/2,2797.0,2767.0,draw,draw
1589,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1/2-1/2,2767.0,2797.0,draw,draw
1590,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1-0,2797.0,2767.0,"Aronian,L","Nakamura,Hi"
1591,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1-0,2767.0,2797.0,"Nakamura,Hi","Aronian,L"
1592,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1/2-1/2,2797.0,2767.0,draw,draw
1593,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1/2-1/2,2767.0,2797.0,draw,draw
1594,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1/2-1/2,2797.0,2767.0,draw,draw
1595,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Nakamura,Hi","Aronian,L",1-0,2767.0,2797.0,"Nakamura,Hi","Aronian,L"
1596,Nakamura vs Aronian Blitz,Saint Louis USA,2014-11-25,"Aronian,L","Nakamura,Hi",1-0,2797.0,2767.0,"Aronian,L","Nakamura,Hi"
1597,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-06,"Nakamura,Hi","Slade,Theodore",1-0,2775.0,1869.0,"Nakamura,Hi","Slade,Theodore"
1598,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-06,"Muter,D","Nakamura,Hi",0-1,2206.0,2775.0,"Nakamura,Hi","Muter,D"
1599,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-06,"Nakamura,Hi","Summerscale,A",1-0,2775.0,2416.0,"Nakamura,Hi","Summerscale,A"
1600,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-06,"Adair,J","Nakamura,Hi",0-1,2428.0,2775.0,"Nakamura,Hi","Adair,J"
1601,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-06,"Nakamura,Hi","Hawkins,Jo",1-0,2775.0,2552.0,"Nakamura,Hi","Hawkins,Jo"
1602,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-06,"Sadler,M","Nakamura,Hi",1/2-1/2,2658.0,2775.0,draw,draw
1603,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-07,"Nakamura,Hi","Adams,Mi",1-0,2775.0,2745.0,"Nakamura,Hi","Adams,Mi"
1604,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-07,"Nakamura,Hi","Giri,A",1-0,2775.0,2768.0,"Nakamura,Hi","Giri,A"
1605,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-07,"Caruana,F","Nakamura,Hi",0-1,2829.0,2775.0,"Nakamura,Hi","Caruana,F"
1606,6th LCC Super Rapidplay Open 2014,London ENG,2014-12-07,"Nakamura,Hi","Anand,V",1-0,2775.0,2793.0,"Nakamura,Hi","Anand,V"
1607,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Caruana,F","Nakamura,Hi",0-1,2829.0,2775.0,"Nakamura,Hi","Caruana,F"
1608,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Nakamura,Hi","Caruana,F",1-0,2775.0,2829.0,"Nakamura,Hi","Caruana,F"
1609,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Anand,V","Nakamura,Hi",1-0,2793.0,2775.0,"Anand,V","Nakamura,Hi"
1610,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Nakamura,Hi","Anand,V",1-0,2775.0,2793.0,"Nakamura,Hi","Anand,V"
1611,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Nakamura,Hi","Adams,Mi",1/2-1/2,2775.0,2745.0,draw,draw
1612,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Adams,Mi","Nakamura,Hi",0-1,2745.0,2775.0,"Nakamura,Hi","Adams,Mi"
1613,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Giri,A","Nakamura,Hi",1-0,2768.0,2775.0,"Giri,A","Nakamura,Hi"
1614,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Nakamura,Hi","Giri,A",1-0,2775.0,2768.0,"Nakamura,Hi","Giri,A"
1615,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Nakamura,Hi","Kramnik,V",1/2-1/2,2775.0,2769.0,draw,draw
1616,6th London CC Elite Blitz 2014,London ENG,2014-12-08,"Kramnik,V","Nakamura,Hi",1-0,2769.0,2775.0,"Kramnik,V","Nakamura,Hi"
1617,6th LCC Pro-Biz Cup 2014,London ENG,2014-12-09,"Caruana,Fabiano:Green,Lee","Nakamura,Hikaru:Hodgson,Jeremy",1/2-1/2,,,draw,draw
1618,6th LCC Pro-Biz Cup 2014,London ENG,2014-12-09,"Nakamura,Hikaru:Hodgson,Jeremy","Kramnik,Vladimir:Picot,Russell",0-1,,,"Kramnik,Vladimir:Picot,Russell","Nakamura,Hikaru:Hodgson,Jeremy"
1619,6th London Classic 2014,London ENG,2014-12-10,"Nakamura,Hi","Giri,A",1/2-1/2,2775.0,2768.0,draw,draw
1620,6th London Classic 2014,London ENG,2014-12-11,"Kramnik,V","Nakamura,Hi",1-0,2769.0,2775.0,"Kramnik,V","Nakamura,Hi"
1621,6th London Classic 2014,London ENG,2014-12-12,"Nakamura,Hi","Anand,V",1/2-1/2,2775.0,2793.0,draw,draw
1622,6th London Classic 2014,London ENG,2014-12-13,"Nakamura,Hi","Adams,Mi",1-0,2775.0,2745.0,"Nakamura,Hi","Adams,Mi"
1623,6th London Classic 2014,London ENG,2014-12-14,"Caruana,F","Nakamura,Hi",1/2-1/2,2829.0,2775.0,draw,draw
1624,Gibraltar Masters 2015,Caleta ENG,2015-01-27,"Vojinovic,J","Nakamura,Hi",0-1,2301.0,2776.0,"Nakamura,Hi","Vojinovic,J"
1625,Gibraltar Masters 2015,Caleta ENG,2015-01-28,"Nakamura,Hi","Harika,D",1-0,2776.0,2496.0,"Nakamura,Hi","Harika,D"
1626,Gibraltar Masters 2015,Caleta ENG,2015-01-29,"Nabaty,T","Nakamura,Hi",0-1,2579.0,2776.0,"Nakamura,Hi","Nabaty,T"
1627,Gibraltar Masters 2015,Caleta ENG,2015-01-30,"Nakamura,Hi","Grandelius,N",1-0,2776.0,2602.0,"Nakamura,Hi","Grandelius,N"
1628,Gibraltar Masters 2015,Caleta ENG,2015-01-31,"Adhiban,Baskaran","Nakamura,Hi",0-1,2630.0,2776.0,"Nakamura,Hi","Adhiban,Baskaran"
1629,Gibraltar Masters 2015,Caleta ENG,2015-02-01,"Nakamura,Hi","Topalov,V",1-0,2776.0,2800.0,"Nakamura,Hi","Topalov,V"
1630,Gibraltar Masters 2015,Caleta ENG,2015-02-02,"Howell,D","Nakamura,Hi",1/2-1/2,2670.0,2776.0,draw,draw
1631,Gibraltar Masters 2015,Caleta ENG,2015-02-03,"Nakamura,Hi",Yu Yangyi,1-0,2776.0,2724.0,"Nakamura,Hi",Yu Yangyi
1632,Gibraltar Masters 2015,Caleta ENG,2015-02-04,"Bachmann,Ax","Nakamura,Hi",1/2-1/2,2629.0,2776.0,draw,draw
1633,Gibraltar Masters 2015,Caleta ENG,2015-02-05,"Nakamura,Hi","Harikrishna,P",1/2-1/2,2776.0,2723.0,draw,draw
1634,4th Zurich CC Blitz,Zurich SUI,2015-02-13,"Caruana,F","Nakamura,Hi",1/2-1/2,2811.0,2776.0,draw,draw
1635,4th Zurich CC Blitz,Zurich SUI,2015-02-13,"Nakamura,Hi","Aronian,L",0-1,2776.0,2777.0,"Aronian,L","Nakamura,Hi"
1636,4th Zurich CC Blitz,Zurich SUI,2015-02-13,"Kramnik,V","Nakamura,Hi",1/2-1/2,2783.0,2776.0,draw,draw
1637,4th Zurich CC Blitz,Zurich SUI,2015-02-13,"Anand,V","Nakamura,Hi",1-0,2797.0,2776.0,"Anand,V","Nakamura,Hi"
1638,4th Zurich CC Blitz,Zurich SUI,2015-02-13,"Nakamura,Hi","Karjakin,Sergey",1-0,2776.0,2760.0,"Nakamura,Hi","Karjakin,Sergey"
1639,4th Zurich CC Classical,Zurich SUI,2015-02-14,"Caruana,F","Nakamura,Hi",0-1,2811.0,2776.0,"Nakamura,Hi","Caruana,F"
1640,4th Zurich CC Classical,Zurich SUI,2015-02-15,"Kramnik,V","Nakamura,Hi",1/2-1/2,2783.0,2776.0,draw,draw
1641,4th Zurich CC Classical,Zurich SUI,2015-02-16,"Nakamura,Hi","Karjakin,Sergey",1-0,2776.0,2760.0,"Nakamura,Hi","Karjakin,Sergey"
1642,4th Zurich CC Classical,Zurich SUI,2015-02-17,"Anand,V","Nakamura,Hi",1-0,2797.0,2776.0,"Anand,V","Nakamura,Hi"
1643,4th Zurich CC Classical,Zurich SUI,2015-02-18,"Nakamura,Hi","Aronian,L",1/2-1/2,2776.0,2777.0,draw,draw
1644,4th Zurich CC TB,Zurich SUI,2015-02-19,"Anand,V","Nakamura,Hi",0-1,2797.0,2776.0,"Nakamura,Hi","Anand,V"
1645,4th Zurich CC Rapid,Zurich SUI,2015-02-19,"Nakamura,Hi","Caruana,F",1-0,2776.0,2811.0,"Nakamura,Hi","Caruana,F"
1646,4th Zurich CC Rapid,Zurich SUI,2015-02-19,"Nakamura,Hi","Kramnik,V",0-1,2776.0,2783.0,"Kramnik,V","Nakamura,Hi"
1647,4th Zurich CC Rapid,Zurich SUI,2015-02-19,"Karjakin,Sergey","Nakamura,Hi",1/2-1/2,2760.0,2776.0,draw,draw
1648,4th Zurich CC Rapid,Zurich SUI,2015-02-19,"Nakamura,Hi","Anand,V",1-0,2776.0,2797.0,"Nakamura,Hi","Anand,V"
1649,4th Zurich CC Rapid,Zurich SUI,2015-02-19,"Aronian,L","Nakamura,Hi",1/2-1/2,2777.0,2776.0,draw,draw
1650,ch-USA 2015,Saint Louis USA,2015-04-01,"Holt,C","Nakamura,Hi",0-1,2530.0,2798.0,"Nakamura,Hi","Holt,C"
1651,ch-USA 2015,Saint Louis USA,2015-04-02,"Nakamura,Hi","Akobian,V",1-0,2798.0,2622.0,"Nakamura,Hi","Akobian,V"
1652,ch-USA 2015,Saint Louis USA,2015-04-03,"Kamsky,G","Nakamura,Hi",1/2-1/2,2683.0,2798.0,draw,draw
1653,ch-USA 2015,Saint Louis USA,2015-04-04,"Nakamura,Hi","So,W",1/2-1/2,2798.0,2788.0,draw,draw
1654,ch-USA 2015,Saint Louis USA,2015-04-05,"Naroditsky,D","Nakamura,Hi",0-1,2633.0,2798.0,"Nakamura,Hi","Naroditsky,D"
1655,ch-USA 2015,Saint Louis USA,2015-04-07,"Nakamura,Hi","Shankland,S",1/2-1/2,2798.0,2661.0,draw,draw
1656,ch-USA 2015,Saint Louis USA,2015-04-08,"Sevian,Samuel","Nakamura,Hi",1/2-1/2,2531.0,2798.0,draw,draw
1657,ch-USA 2015,Saint Louis USA,2015-04-09,"Troff,Kayden W","Nakamura,Hi",0-1,2532.0,2798.0,"Nakamura,Hi","Troff,Kayden W"
1658,ch-USA 2015,Saint Louis USA,2015-04-10,"Nakamura,Hi","Gareev,T",1/2-1/2,2798.0,2604.0,draw,draw
1659,ch-USA 2015,Saint Louis USA,2015-04-11,"Robson,R","Nakamura,Hi",1/2-1/2,2656.0,2798.0,draw,draw
1660,ch-USA 2015,Saint Louis USA,2015-04-12,"Nakamura,Hi","Onischuk,Al",1-0,2798.0,2665.0,"Nakamura,Hi","Onischuk,Al"
1661,47th Italian Teams 2015,Civitanova Marche ITA,2015-04-30,"Brunello,S","Nakamura,Hi",1/2-1/2,2540.0,2798.0,draw,draw
1662,47th Italian Teams 2015,Civitanova Marche ITA,2015-05-01,"Nakamura,Hi","Cacco,C",1-0,2798.0,2337.0,"Nakamura,Hi","Cacco,C"
1663,47th Italian Teams 2015,Civitanova Marche ITA,2015-05-03,"Socko,B","Nakamura,Hi",0-1,2623.0,2798.0,"Nakamura,Hi","Socko,B"
1664,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-14,"Karjakin,Sergey","Nakamura,Hi",1/2-1/2,2753.0,2799.0,draw,draw
1665,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-15,"Gelfand,B","Nakamura,Hi",1/2-1/2,2744.0,2799.0,draw,draw
1666,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-16,"Nakamura,Hi","Giri,A",1/2-1/2,2799.0,2776.0,draw,draw
1667,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-17,"Dominguez Perez,L","Nakamura,Hi",1/2-1/2,2734.0,2799.0,draw,draw
1668,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-19,"Nakamura,Hi","Svidler,P",1/2-1/2,2799.0,2734.0,draw,draw
1669,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-20,"Tomashevsky,E","Nakamura,Hi",1/2-1/2,2749.0,2799.0,draw,draw
1670,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-21,"Nakamura,Hi","Vachier Lagrave,M",1-0,2799.0,2754.0,"Nakamura,Hi","Vachier Lagrave,M"
1671,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-22,"Jobava,Ba","Nakamura,Hi",0-1,2699.0,2799.0,"Nakamura,Hi","Jobava,Ba"
1672,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-24,"Nakamura,Hi","Grischuk,A",1/2-1/2,2799.0,2780.0,draw,draw
1673,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-25,"Caruana,F","Nakamura,Hi",1/2-1/2,2803.0,2799.0,draw,draw
1674,KM FIDE GP 2015,Khanty-Mansiysk RUS,2015-05-26,"Nakamura,Hi","Jakovenko,D",1/2-1/2,2799.0,2738.0,draw,draw
1675,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Nakamura,Hi","Topalov,V",1-0,2802.0,2798.0,"Nakamura,Hi","Topalov,V"
1676,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Nakamura,Hi","Grischuk,A",0-1,2802.0,2781.0,"Grischuk,A","Nakamura,Hi"
1677,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Hammer,J","Nakamura,Hi",0-1,2677.0,2802.0,"Nakamura,Hi","Hammer,J"
1678,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Nakamura,Hi","Giri,A",1/2-1/2,2802.0,2773.0,draw,draw
1679,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Vachier Lagrave,M","Nakamura,Hi",0-1,2723.0,2802.0,"Nakamura,Hi","Vachier Lagrave,M"
1680,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Nakamura,Hi","Caruana,F",1-0,2802.0,2805.0,"Nakamura,Hi","Caruana,F"
1681,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Carlsen,M","Nakamura,Hi",1-0,2876.0,2802.0,"Carlsen,M","Nakamura,Hi"
1682,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Nakamura,Hi","Aronian,L",1-0,2802.0,2780.0,"Nakamura,Hi","Aronian,L"
1683,3rd Norway Blitz 2015,Stavanger NOR,2015-06-15,"Anand,V","Nakamura,Hi",1/2-1/2,2804.0,2802.0,draw,draw
1684,3rd Norway Chess 2015,Stavanger NOR,2015-06-16,"Nakamura,Hi","Hammer,J",1-0,2802.0,2677.0,"Nakamura,Hi","Hammer,J"
1685,3rd Norway Chess 2015,Stavanger NOR,2015-06-17,"Topalov,V","Nakamura,Hi",1/2-1/2,2798.0,2802.0,draw,draw
1686,3rd Norway Chess 2015,Stavanger NOR,2015-06-18,"Nakamura,Hi","Caruana,F",1-0,2802.0,2805.0,"Nakamura,Hi","Caruana,F"
1687,3rd Norway Chess 2015,Stavanger NOR,2015-06-19,"Giri,A","Nakamura,Hi",1/2-1/2,2773.0,2802.0,draw,draw
1688,3rd Norway Chess 2015,Stavanger NOR,2015-06-21,"Nakamura,Hi","Anand,V",1/2-1/2,2802.0,2804.0,draw,draw
1689,3rd Norway Chess 2015,Stavanger NOR,2015-06-22,"Carlsen,M","Nakamura,Hi",1/2-1/2,2876.0,2802.0,draw,draw
1690,3rd Norway Chess 2015,Stavanger NOR,2015-06-23,"Nakamura,Hi","Grischuk,A",1/2-1/2,2802.0,2781.0,draw,draw
1691,3rd Norway Chess 2015,Stavanger NOR,2015-06-24,"Nakamura,Hi","Vachier Lagrave,M",1/2-1/2,2802.0,2723.0,draw,draw
1692,3rd Norway Chess 2015,Stavanger NOR,2015-06-25,"Aronian,L","Nakamura,Hi",0-1,2780.0,2802.0,"Nakamura,Hi","Aronian,L"
1693,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-23,"Nakamura,Hi","Anand,V",1-0,2814.0,2816.0,"Nakamura,Hi","Anand,V"
1694,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-24,"Topalov,V","Nakamura,Hi",1-0,2816.0,2814.0,"Topalov,V","Nakamura,Hi"
1695,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-25,"Nakamura,Hi","Caruana,F",1/2-1/2,2814.0,2808.0,draw,draw
1696,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-26,"Vachier Lagrave,M","Nakamura,Hi",1/2-1/2,2731.0,2814.0,draw,draw
1697,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-27,"Nakamura,Hi","Giri,A",1/2-1/2,2814.0,2793.0,draw,draw
1698,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-29,"So,W","Nakamura,Hi",0-1,2779.0,2814.0,"Nakamura,Hi","So,W"
1699,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-30,"Nakamura,Hi","Aronian,L",0-1,2814.0,2765.0,"Aronian,L","Nakamura,Hi"
1700,3rd Sinquefield Cup 2015,Saint Louis USA,2015-08-31,"Carlsen,M","Nakamura,Hi",1/2-1/2,2853.0,2814.0,draw,draw
1701,3rd Sinquefield Cup 2015,Saint Louis USA,2015-09-01,"Nakamura,Hi","Grischuk,A",1-0,2814.0,2771.0,"Nakamura,Hi","Grischuk,A"
1702,FIDE World Cup 2015,Baku AZE,2015-09-11,"Phiri,R","Nakamura,Hi",0-1,2252.0,2814.0,"Nakamura,Hi","Phiri,R"
1703,FIDE World Cup 2015,Baku AZE,2015-09-12,"Nakamura,Hi","Phiri,R",1-0,2814.0,2252.0,"Nakamura,Hi","Phiri,R"
1704,FIDE World Cup 2015,Baku AZE,2015-09-14,"Nakamura,Hi","Shankland,S",1/2-1/2,2814.0,2656.0,draw,draw
1705,FIDE World Cup 2015,Baku AZE,2015-09-15,"Shankland,S","Nakamura,Hi",1/2-1/2,2656.0,2814.0,draw,draw
1706,FIDE World Cup 2015,Baku AZE,2015-09-16,"Nakamura,Hi","Shankland,S",1-0,2814.0,2656.0,"Nakamura,Hi","Shankland,S"
1707,FIDE World Cup 2015,Baku AZE,2015-09-16,"Shankland,S","Nakamura,Hi",1/2-1/2,2656.0,2814.0,draw,draw
1708,FIDE World Cup 2015,Baku AZE,2015-09-17,"Nepomniachtchi,I","Nakamura,Hi",1/2-1/2,2705.0,2814.0,draw,draw
1709,FIDE World Cup 2015,Baku AZE,2015-09-18,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2814.0,2705.0,draw,draw
1710,FIDE World Cup 2015,Baku AZE,2015-09-19,"Nepomniachtchi,I","Nakamura,Hi",0-1,2705.0,2814.0,"Nakamura,Hi","Nepomniachtchi,I"
1711,FIDE World Cup 2015,Baku AZE,2015-09-19,"Nakamura,Hi","Nepomniachtchi,I",1/2-1/2,2814.0,2705.0,draw,draw
1712,FIDE World Cup 2015,Baku AZE,2015-09-19,"Nakamura,Hi","Nepomniachtchi,I",1-0,2814.0,2705.0,"Nakamura,Hi","Nepomniachtchi,I"
1713,FIDE World Cup 2015,Baku AZE,2015-09-19,"Nepomniachtchi,I","Nakamura,Hi",1-0,2705.0,2814.0,"Nepomniachtchi,I","Nakamura,Hi"
1714,FIDE World Cup 2015,Baku AZE,2015-09-19,"Nepomniachtchi,I","Nakamura,Hi",1-0,2705.0,2814.0,"Nepomniachtchi,I","Nakamura,Hi"
